Epoch,Validation_F1,Model,Features
1,0.9501,MLP,Vector
2,0.9605,MLP,Vector
3,0.9681,MLP,Vector
4,0.9714,MLP,Vector
5,0.9663,MLP,Vector
6,0.9681,MLP,Vector
7,0.9696,MLP,Vector
8,0.9736,MLP,Vector
9,0.9745,MLP,Vector
10,0.9752,MLP,Vector
11,0.9729,MLP,Vector
12,0.9700,MLP,Vector
13,0.9745,MLP,Vector
14,0.9725,MLP,Vector
15,0.9751,MLP,Vector
16,0.9721,MLP,Vector
17,0.9770,MLP,Vector
18,0.9787,MLP,Vector
19,0.9778,MLP,Vector
20,0.9778,MLP,Vector
21,0.9777,MLP,Vector
22,0.9752,MLP,Vector
23,0.9780,MLP,Vector
24,0.9755,MLP,Vector
25,0.9794,MLP,Vector
26,0.9812,MLP,Vector
27,0.9827,MLP,Vector
28,0.9768,MLP,Vector
29,0.9804,MLP,Vector
30,0.9811,MLP,Vector
1,0.9380,LSTM,Vector
2,0.9625,LSTM,Vector
3,0.9648,LSTM,Vector
4,0.9709,LSTM,Vector
5,0.9705,LSTM,Vector
6,0.9691,LSTM,Vector
7,0.9739,LSTM,Vector
8,0.9769,LSTM,Vector
9,0.9815,LSTM,Vector
10,0.9744,LSTM,Vector
11,0.9751,LSTM,Vector
12,0.9806,LSTM,Vector
13,0.9785,LSTM,Vector
14,0.9732,LSTM,Vector
15,0.9779,LSTM,Vector
16,0.9797,LSTM,Vector
17,0.9802,LSTM,Vector
18,0.9777,LSTM,Vector
19,0.9786,LSTM,Vector
20,0.9831,LSTM,Vector
21,0.9782,LSTM,Vector
22,0.9826,LSTM,Vector
23,0.9806,LSTM,Vector
24,0.9768,LSTM,Vector
25,0.9784,LSTM,Vector
26,0.9786,LSTM,Vector
27,0.9838,LSTM,Vector
28,0.9798,LSTM,Vector
29,0.9825,LSTM,Vector
30,0.9764,LSTM,Vector
1,0.9532,LSTM,GA
2,0.9641,LSTM,GA
3,0.9675,LSTM,GA
4,0.9743,LSTM,GA
5,0.9759,LSTM,GA
6,0.9726,LSTM,GA
7,0.9711,LSTM,GA
8,0.9785,LSTM,GA
9,0.9777,LSTM,GA
10,0.9751,LSTM,GA
11,0.9745,LSTM,GA
12,0.9782,LSTM,GA
13,0.9754,LSTM,GA
14,0.9750,LSTM,GA
15,0.9776,LSTM,GA
16,0.9761,LSTM,GA
17,0.9753,LSTM,GA
18,0.9824,LSTM,GA
19,0.9806,LSTM,GA
20,0.9785,LSTM,GA
21,0.9787,LSTM,GA
22,0.9761,LSTM,GA
23,0.9793,LSTM,GA
24,0.9800,LSTM,GA
25,0.9730,LSTM,GA
26,0.9748,LSTM,GA
27,0.9809,LSTM,GA
28,0.9767,LSTM,GA
29,0.9802,LSTM,GA
30,0.9821,LSTM,GA
1,0.9509,LSTM,Hybrid
2,0.9702,LSTM,Hybrid
3,0.9722,LSTM,Hybrid
4,0.9748,LSTM,Hybrid
5,0.9759,LSTM,Hybrid
6,0.9751,LSTM,Hybrid
7,0.9779,LSTM,Hybrid
8,0.9822,LSTM,Hybrid
9,0.9786,LSTM,Hybrid
10,0.9764,LSTM,Hybrid
11,0.9809,LSTM,Hybrid
12,0.9814,LSTM,Hybrid
13,0.9739,LSTM,Hybrid
14,0.9831,LSTM,Hybrid
15,0.9820,LSTM,Hybrid
16,0.9783,LSTM,Hybrid
17,0.9794,LSTM,Hybrid
18,0.9817,LSTM,Hybrid
19,0.9810,LSTM,Hybrid
20,0.9826,LSTM,Hybrid
21,0.9825,LSTM,Hybrid
22,0.9835,LSTM,Hybrid
23,0.9829,LSTM,Hybrid
24,0.9820,LSTM,Hybrid
25,0.9798,LSTM,Hybrid
26,0.9814,LSTM,Hybrid
27,0.9839,LSTM,Hybrid
28,0.9818,LSTM,Hybrid
29,0.9831,LSTM,Hybrid
30,0.9840,LSTM,Hybrid
